timothée,Ti mô thi
samr,Ét a mờ rờ
apk,A pê ka
icpc,I xê pê xê
gündogan,Gun đô gan
iot,Ai ô ti
l'equipe,Lơ quýp
it,Ai ti
spa,Sờ pa
ocw,O xê vê kép
cska,Xê ét ca a
a-z,A đến dét
tto,Tê tê o
evnspc,E vê nờ ét pê xê
vba,Vê bê a
bz4x,Bê zét bốn ích
ita,I tê a
cia,Xê i a
ava,A vê a
uva,U vê a
espn,E ét pê en
cctv,Xê xê ti vi
atp,A tê pê
sab,Ét a bê
gex,Gờ e ích
vre,Vê rờ e
cii,Xê i i
ssi,Ét ét i
eps,E pê ét
vcci,Vê xê xê i
pyn,Pê i nờ
ml,Ma chin lơn ning
atc,A tê xê
amd,A mờ đê
ota,Ô tê a
h'hen niê,Hờ hen ni ê
ron95,Ron chín mươi lăm
ron92,Ron chín mươi hai
g7,Gờ bảy
g20,Gờ hai mươi
là b.,Là bê
là c.,Là xê
là d.,Là đê
mỹ lan,mỹ lan
2d,Hai đê
3d,Ba đê
4d,Bốn đê
5d,Năm đê
đt,Đê tê
ounce,Ao xơ
new york,niu dóc
italy,i ta ly
ec,E xê
rocket,rốc két
fpt,ép bê tê
shtp,ét hát tê bê
index,in đếch
epi,E pê i
nca,N xê a
ev,E vê
oled,Ô lét
yeah1,Dia oăn
fm,Ép em
acb,A xê bê
donga bank,Đông á banh
seabank,Si banh
oceanbank,Âu sừn banh
abbank,A bê banh
nasbank,Nờ a ét banh
gp.bank,Gờ pê banh
msb,Mờ ét bê
techcombank,Tếch com banh
kienlongbank,Kiên long banh
nam a bank,Nam á banh
ncb,Nờ xê bê
vpbank,Vê pê banh
shb,Ét hát bê
hd bank,Hát đê banh
pnb,Pê nờ bê
ocb,O xê bê
mb,Mờ bê
pvcombank,Pê vê banh
vib,Vê i bê
scb,Ét xê bê
saigonbank,Sài gòn banh
sacombank,Sa com banh
vietabank,Việt á banh
baovietbank,Bảo việt banh
vietbank,Việt banh
pgbank,Pê gờ banh
eximbank,E xim banh
lvb,Lờ vê bê
tienphongbank,Tiên phong banh
vietcombank,Việt com banh
vcb,Vê xê bê
mdb,Mờ đê bê
cb,Xê bê
vietinbank,Việt tin banh
bidv,Bi ai đi vi 
agribank,A gờ ri banh
mhb,Mờ hát bê
anzb,A nờ dét bê
db,Đê bê
citibank,Ci ti banh
hsbc,Hát ét bê xê 
shbvn,Ét hát bê vê nờ
hlbvn,Hát lờ bê vê nờ
smbc,Ét mờ bê xê
cba,Xê bê a
ivb,I vê bê
vrb,Vê rờ bê
usd,Đô la mỹ
